host,ip
ams1-9-ups2,10.136.60.2
ams1-9-ups1,10.136.37.126
atl1-31-ups1,10.84.33.139
atl1-30-ups1,10.84.33.12
atl1-34-ups1,10.84.32.24
atl1-33-ups1,10.84.18.21
atl1-29-ups1,10.84.16.2
atl1-28-ups1,10.84.12.2
atl1-lobby-ups1,10.84.10.2
AUS1-03-UPS,10.88.165.20
AUS1-02-UPS,10.88.160.20
blr1-3-ups2,10.205.78.24
blr1-3-ups1,10.205.78.21
,
,NA
,
,
bos1-19-ups1,10.71.52.2
bos3-04-ups,10.53.16.20
chi8-57-ups,10.141.144.25
chi8-56-ups,10.141.143.21
chi8-55-ups,10.141.142.24
chi8-17-ups,10.141.139.31
chi8-16-ups,10.141.138.30
chi8-15-ups,10.141.137.30
chi8-14-ups,10.141.136.31
chi8-13-ups,10.141.135.30
chi8-12-ups,10.141.134.31
chi8-11-ups,10.141.133.31
chi8-10-ups,10.141.132.30
chi8-08-ups,10.141.130.22
chi8-07-ups,10.141.129.29
cmn1-mdf-ups,10.150.89.200
,
,
,
den3-5-ups1,10.76.71.35
den3-6-ups1,10.76.82.29
dfw2-15-ups1,10.74.90.28
dfw2-14-ups1,10.74.86.21
erf-ups-9,10.150.9.10
erf-ups-1,10.150.26.10
eze-jm-05,
eze-jm-06,without
eze2-ups-2,NA
eze2-ups-1,
fra4-6-ups,
fra4-5-ups,10.150.240.75
GRU1-15-UPS1,10.116.18.2
GRU1-14-UPS1,10.116.16.2
gsoc-3-ups1,10.10.136.2
HYD1-15C1-UPS,10.204.208.35
HYD1-12B-UPS,10.204.184.35
HYD1-15C-UPS,10.204.164.35
HYD1-14D-UPS,10.204.154.35
HYD2-18A-UPS,10.206.152.35
HYD2-0B-UPS-3,10.206.138.55
HYD2-0B-UPS-2,10.206.138.45
HYD2-0B-UPS-1,10.206.138.23
HYD2-16A-UPS,10.206.130.35
HYD2-15A-UPS-3,10.206.128.55
HYD2-15A-UPS-2,10.206.128.45
HYD2-15A-UPS-1,10.206.128.35
IAD6-4-ups,10.18.81.23
IAD6-3-UPS,10.18.80.23
ind4-24-ups1,10.30.54.2
ind4-1-ups1,
ind4-11-ups1,10.30.26.2
ind4-07-ups1,10.30.96.20
ind4-47-ups1,10.30.62.2
ind4-25-ups1,10.30.58.2
ind4-23-ups1,10.30.50.2
ind4-13-ups1,10.30.34.2
ind4-12-ups1,10.30.30.2
ind4-10-ups1,10.30.22.2
ind4-9-ups1,10.30.18.2
lon2-33-ups,10.134.54.26
lon2-26-ups,10.134.20.2
lon2-32-ups,10.134.51.24
lon2-idf37-ups,10.134.48.2
lon2-31-ups,10.134.36.2
lon2-30-ups,10.134.32.2
lon2-29-ups1,10.134.30.21
lon2-28-ups1,10.134.28.2
MEL1,10.194.84.2
mel2-12-ups1,10.7.132.2
NYC3-17-UPS,10.91.22.5
NYC3-16-UPS,10.91.80.20
NYC3-41-UPS,10.91.44.27
NYC3-23-UPS,10.91.38.20
NYC3-20-UPS,10.91.34.20
NYC3-19-UPS,10.91.30.20
NYC3-18-UPS,10.91.26.20
pao1-1-ups,10.7.14.2
pao3-01-ups1,10.76.7.5
pao3-02-ups1,10.76.7.37
par1-4-ups1,10.136.20.4
pdx-4-ups1,10.126.96.28
pdx-3-ups1,10.126.88.2
pdx-1-ups1,10.126.86.21
sea1-18-ups1,10.18.28.2
sea1-17-ups1,10.18.26.2
SEA2-01-UPS3,10.89.49.11
SEA2-01-UPS2,10.89.49.10
SEA2-01-UPS1,10.89.48.6
SEA7-05-UPS,10.89.195.250
SEA7-04-UPS,10.89.194.20
SEA7-03-UPS,10.89.193.20
SEA7-02-UPS1,10.89.192.231
SEA7-02-UPS2,10.89.192.230
SEA7-02-UPS3,
sfo3-3-ups1,10.9.78.2
sfo3-4-ups1,10.9.82.2
sfo3-30-ups1,10.9.182.2
sfo8-20-ups1,10.6.98.2
sfo8-19-ups1,10.6.94.26
sfo8-3-ups1,10.6.88.2
sfo8-61-ups1,10.6.84.2
sfo8-6-ups1,10.6.76.2
sfo8-5-ups1,10.6.72.2
sfo8-18-ups1,10.6.68.2
sfo8-17-ups1,10.6.62.29
sfo8-16-ups1,10.6.58.2
sfo8-15-ups1,10.6.54.2
sfo8-14-ups1,10.6.48.2
sfo8-13-ups1,10.6.44.2
sfo8-7-ups1,10.6.4.26
sfo8-12-ups1,10.6.38.2
sfo8-11-ups1,10.6.32.2
sfo8-1-ups1,10.6.26.2
sfo8-4-ups1,10.6.24.2
sfo8-45-ups1,10.6.182.21
sfo8-10-ups1,10.6.18.2
sfo8-9-ups1,10.6.14.2
sfo8-28-ups1,10.6.136.2
sfo8-26-ups1,10.6.128.27
sfo8-25-ups1,10.6.122.2
sfo8-24-ups1,10.6.118.2
sfo8-23-ups1,10.6.112.29
sfo8-22-ups1,10.6.108.2
sfo8-21-ups1,10.6.102.28
sfo8-8-ups1,10.6.10.2
SHM-01-UPS1,N/A
sin1-13-mdf-ups1,10.205.177.2
sin1-10-ups1,10.205.176.2
sna1-15-ups1,10.76.32.2
SYD4-39-UPS1,10.151.166.39
SYD4-42-UPS1,10.151.169.21
SYD4-52-UPS1,10.151.179.31
SYD4-51-UPS1,10.151.178.25
SYD4-50-UPS1,10.151.177.22
SYD4-49-UPS1,10.151.176.22
SYD4-48-UPS1,10.151.175.22
SYD4-44-UPS1,10.151.171.22
SYD4-43-UPS1,10.151.170.23
SYD4-41-UPS1,10.151.168.26
SYD4-40-UPS1,10.151.167.22
SYD4-38-UPS1,10.151.165.30
SYD4-L1-B2-UPS,10.151.128.21
TLV2-11-UPS,
TLV2-10-UPS,
tlv3-15-ups2,Not connected
tlv3-15-ups1,
TOK5-13-UPS1,-
TOK5-13-UPS2,10.60.56.135
TOK5-09-UPS1,10.60.130.29
TOK5-01-UPS1,N/A
TOK5-B2-UPS1,N/A
TOK5-22-UPS1,10.60.141.24
TOK5-21-UPS1,10.60.140.27
TOK5-20-UPS1,10.60.139.20
TOK5-19-UPS1,10.60.138.26
TOK5-18-UPS1,10.60.137.22
TOK5-17-UPS1,10.60.136.25
TOK5-16-UPS1,10.60.135.23
TOK5-15-UPS1,10.60.134.23
TOK5-14-UPS1,10.60.133.29
TOK5-08-UPS1,10.60.129.24
tor-7-ups1,10.85.50.5
tor-3-ups1,10.85.49.2
tor-5-ups1,10.85.46.11
tor-6-ups1,10.85.41.44
tor-4-ups1,10.85.39.15
txl1-1-ups2,10.150.116.2
txl1-1-ups1,10.150.112.2
vac2-7-ups1,10.74.30.2
vac2-6-ups1,10.74.26.2
vac2-5-ups1,10.74.22.2
vac2-4-ups1,10.74.18.22
